gulay,français
ànj#,ins
tér,uce
bàl,saut
gàri,sauterelle
gèr,"savoir, connaître"
ndàri,scolopendre
küj£-nàng,scorpion
tütù,sec : être
"ày, tütù",sec : être (en surface)
ndègo,- Langues Sara
yéy,secouer
mbà,sein
"kàt#,",sel
;jfngs,semoule
gang,separer
séjr-mûté,sept
11,serpent
nàm,serrer
kér,sésame
sè-kér-àù,"seul, tout seul"
küûws : Kul=häyé,seulement
no,sève; glu
ké,si
n;jil,lure : esp. de
bètz,.nge
mèté-mûté,.X
künds,if
1d-sèI,ir
kàdi,soleil
til,"sombre, nuit"
nS 1,somnoler
bins,son de mil
-é,"son, sa"
küms,sorcier
gdjÀ,sorgho
tèe,sortir
)j1g#,souche
gfir,"sous, dessous"
gèr,spatule en bois
kùjù,stérilité
njib#,sucer
il,sucer (enfant)
lind#,sucré : être
tètz,sueur; suer
ndôlè : M=ndüûlo,suivre
dè,"sur, dans"
mäng,tabac
ké11,tabouret
rété,"icher ,enduire (d'huile)"
màst,imarinier
kôdi,imbour
dàlè,imbour à deux faces
gängéà,"imbour, grand"
tème,mis
jèng-15ng,tamis : sorte de
s1ys,tamiser
bèn,tante paternelle
gér,tapioca blanc
it,tarir
-1,te (acc. s.)
ngirè,- Langues Sara
wa,termite ailé
yÿ0,termite blanc
nàng,"terre, sol"
dè-nàng,terre; territoire
güm,testicules
dè,tête
käsx,tibia
Ôbz,tiède : être
käd#,tige
mè,tique
ndér,tirer
ginds,toile d'araignée
dè-Bädé,tombe
ds0,mber
tésé : Mh=téso,mber (en groupe)
èdài,mber (pluie)
-f,"on, ta; toi"
tüsù,>rche de paille
dùügü,rdre; être courbé
mey,>rtue : esp. de
ddË,toucher
nd5-g#,"toujours, souvent"
ngà-n$61-ma Î,tourbillon
ndür,"tourner, se"
b£,"tournoyer, secouer"
màläàng,tous
käsé,tousser
mbôré,traire; presser avec main
àtà,tranchant : être
kùlè,travail
dS r,"traverser, passer"
ndèbà,trembler
