bebote,français
bàw,père
mèdi,perles
dèw,personne
duû,petit :être
ndé,"peu, un peu"
bèr,phacochère
njà,"pied, jambe"
mbàng+ra,piège
d$é,"pigeon, tourterelle"
ùr,piler
sèw,piler (pour enlever le son)
goy,pilon
j41,piment
ùgi,"pincer, gratter"
tànji,pintade
t06,pipe
dsÈi,piquer
tüg£,piquer
t0,pirogue
tôw,"ace de, traces de"
kéy-ngon,acenta
do,"aie, blessure"
nè1,aire
n9,eurer
nd1,uie
bèl,plume
bil,poil
wüûl,pois de terre
kèngi,poison
känj,poisson
gàm-sa,poisson : capitaine
gû,poitrine
p6-m£ndr,| pomme d'Adam
ndé,pont
1ys,porc-épic
tà-kéy,porte
Ôtx#,porter
È1è,porter [habits]
Èinds,poser à plat
ng£$ss,pou
kinjé,poulet
kàre-bè,ur rien
mba-tà-18,ur; à cause de
mba-di,urquoi
ndüûm,urri : être
ibè,usser
bùû,ussière
dds4y,"premier, d'abord"
tàa,prendre
ùûn,prendre
té,préparer la bouillie
0rè,"presser, forcer"
tuüuns,"prêter, emprunter"
gat#,prix
tà,problème
dèp}i,proche
èw,"profond, être"
d]i,proposer
njè,propriétaire
£-6s,propriétaire
ddi,puiser
bèl1è-màn,puits
$1,pus
màm,python
1d-k£,quand
màté,quand?
s5,quatre
kàd#,"que, pour que"
$,"que, qui"
ɗ,"1e, quoi"
bôngi,eue
né,"ii, que"
ngèrè,icines
3y,"ramasser, prendre"
àgi,ramper (un enfant)
àlè,ramper (une plante)
bàa,rancune
ngèiss,"raser, se"
y£ngs,rasoir
ndan,"rassasié, être"
käw,rassembler
yégE,"rat, souris"
nàl,1 | rater; manquer
nd4jx,redresser
mèr,\ | réfléchir
11ys,refroidir
mbat£,refuser
dèsi,remplir
koré,remuer
Pügülü : Do=bèr,remuer
tüwe,renvoyer; chasser
ètà,répandre une odeur
ndigi,‘pondre
njè,:sidu
kès,spiration; repos; souffle
nd$gz,ste
này,2ster
ndél,"veiller, se réveiller"
té1,"venir, rentrer; tourner"
n1,rêver; rêve
kàsi-bâànt,rhinocéros
kàre,rien; vide; normale
ùsi,rincer
kog#,rire
jàngi,rival
mà,| | rônier
tàl,rosée
dài},". | roter, éructer"
kàsi,rouge : être
déw,"route, chemin"
rôwe,ruche
ngàmämà,rugueux : être
$f-nangira,sable
651,sac
nèngè,"sagaie, lance"
ùwè,"saisir, prendre"
Pàr,saison pluvieuse
nay-kàdi,saison seche
yor6,ileté
yoro,"live, crachat"
mÉésx,ing
£-tSndx,ingsue
s4,ins
téy,uce
bàl,saut
gèr,"savoir, connaître"
£-ni,scorpion
tùti,sec : être
ày,sec : être (en surface)
ndôg#,secko
yék#,secouer
mbà,sein
kàt#,sel
)£ngs,semoule
gangt,separer
s1ri,sept
11,serpent
Kké,sésame
kär,"seul, tout seul"
)$ : Do=bè,seulement
sé,si
gür,lure : esp. de
6èt#,.nge
iw,-roter
mèhé,.X
kènds,if
kàdi,soleil
bèns,son de mil
-6,"son, sa"
kèims,sorcier
9dji,sorgho
tèée,sortir
jigz,souche
gîin,"sous, dessous"
gès,spatule en bois
kùjà,stérilité
ning£#,sucer
i1,sucer (enfant)
mba,sucré : être
tètz,sueur; suer
dà,"sur, dans"
mäâng#,tabac
k£mbsr,tabouret
màs#,imarinier
kddi,imbour
dàlè,imbour à deux faces
tème,mis
bèñ,tante paternelle
qs,tapioca blanc
i1,tarir
-1,te (acc. s.)
ngirè,tendons (de viande)
wa,termite ailé
Yy0,termite blanc
nàngi,"terre, sol"
dd-nàng,terre; territoire
ngôr,testicules
d5,tête
kas+,tibia
käd#,tige
m} y,tique
ndér,tirer
jônde,toile d'araignée
Ôs#,mber
èdi,mber (pluie)
-1,"on, ta; toi"
ngèl,>rche de paille
dùgi,rdre; être courbé
mèy,>rtue : esp. de
bé1,tortue : esp. de
3d,toucher
d5r$,"toujours, souvent"
1#1-maî,tourbillon
ndur,"tourner, se"
léy,tous
k$sx,tousser
ôre,traire; presser avec main
àtài,tranchant : être
kilè,travail
ùr,"traverser, passer"
dàd#,trembler
y515,tremper
dd-mÈté,trente
pét#,tresser
dj+,tresser (le secco)
mûté,trois
be,trou
boôlè,trou
mbûti,"jouer; percé, être"
ingè,-ouver
6àa,ouver par terre
+-,1; vous
t51,ler
kâre,"1, une"
k$di-man,urine
ng1r,vagin
kèe,"van, panier pour vanner"
bôrè,"vanter, se"
bür,varan
làw,vendre
dèe,venir
i,venir de; se lever
1é61,vent
mè,ventre
mdti,"verge, pénis"
ndüus+,vermoulu : être
Kk#,vers
mbél1,verser
bük£,verser
k+b#,vêtement
da,viande
dégè,vieillard
6e,llage
d3-66,ngt
905,siter
ùwè,"_squeux, gluante"
läw,te
00,ir
njè-mbé-kéy,)isin
ndu,voix
Pdôgi,voler
tomo,vomir
gè,vouloir
-sè,üù | vous (acc.)
-s1,vous (oblique); votre
mba,"voyage; hôte, invité"
£-ndi Î,"youyou, faire"
