daba,français
ßàä,ouver par terre
ï-,; vous
tûl,er
ká÷ä :,", une"
kéd-màñ,urine
kèë,"van, panier pour vanner"
bür,varan
kä,vendre
÷èë,venir
¡,venir de; se lever
nél,vent
kèm,ventre
mît :,"verge, pénis"
ndüs :,vermoulu : être
mbé£ :,verser v
òñg,verser
küb :,vêtement
dä,viande
ßúgá :,vieillard
ßë,llage
dî-jö÷,ngt
dÇ,te
òö,ir
màd-ßë,isin
ndü,voix
ßòg :,voler
töm :,vomir
gè,vouloir
-sé,vous (oblique); votre
mbä,"voyage; hôte, invité"
njíl :,"youyou, faire"
dän,accompany
ìb,activate (fire)
jûr-kôb :,adam's apple
nÅ,ahead of
árgè,alcoholic drink
kéré :,all
ö :,and
mè,"and, but"
höng :,anger
dä,animal a
mbër :,"announcement, public"
pèn :,telope : duiker
dùl,telope : duiker
nàs :,telope : roan
nàj,argue about : to
kûl,argue with : to
sôl :,armpit
bü :,ash
njìjò :,ask : to
bŸ®,aunt (paternal)
kènèng :,"away,off"
küngä :,axe
màd :,baboon
gìd :,back
gòóg :,backwards b
kàb :,bachelor b
ßôl,bag
míró :,bale of grass
kô-mà« :,"rk (of tree), dry"
kèë,sket (for winnowing)
döw,t : type of
ndòg :,the : to
ì,: to
tí,"like, as : to be"
mèd :,beads
mònj :,beans
ànd :,bear fruit : to
mbäý :,beard
kìtû :,because
kìtû :,because of
tèj :,bee; honey
bíl-bìl :,beer : millet
yïb :,beer : type of
kétë :,before
kî :,beg for : to
gìd :,behind
kúm,belly button
só-tï :,b
bò,g : to be
yè£,rd
dÅ,te : to
àt,tter : to be
ìl :,ack : to be
mìndö,blind person (from birth)
mós :,blood
bò÷,boar
dä-rû,body
lëg :,boil : to
kïngû :,bone
ndïmä :,borrow; lend : to
jéë :,bother : to
mápà :,bread
tèt :,break : to
tû b,break : to
mbà,breast
kòö b,breath; rest
ndìsä :,oom
sáj :,other-in-law
dîg :,ffalo
Å :,rn : to
òng :,rp
dùb :,"bury, plant : to"
kám,"bush, leaf"
gáy :,buttocks
kô®,call : to
jámàl :,camel
ìtö,carry : to
gîjî :,cassava
ùwà,"catch, seize : to"
tàÛ,caterpillar : hairless
à®,"ear, clean : to be"
à£,"imb, go up : to"
ùt,ose : to
küb :,clothes
gîl,club
kül,cold
kú÷á :,color; lines; designs
÷èë,come : to
èd,come down : to
¡,come from; get up : to
ndèt :,concern : to
yít :,"congratulate, praise : to"
njïr :,cook : to
kú£,cook sauce : to
èd,cooked enough : to be
sî£,cool : to be c
bùlà :,"coop, pen"
njö c,corn
nïÑ,corpse
kés :,cough : to
îj :,unsel : to
màñg :,w : cattle
mä•,aving for
àg,crawl
màr :,crocodile
dúd :,crush : to
kòs :,cucumber
àj,cure : to
ìjà,cut : to
dò,"cut, sore"
kƒyçy :,chameleon
kúl c,charcoal
kìl,cheek
ßò,chest
künjá :,icken
màwkùnjè :,ief
ngön :,ild
ndö :,ildbirth
túgá :,chop : to
lä :,dance
ndû,day
kòy,death
yò,death; magic
ùr,deep : to be
näj :,deny : to
÷ìs :,descend : to
túj :,"destroy, ruin : to"
tà£,dew
ndèñg :,diarrhea : to have
òy d,die : to
ù÷,dig : to
mï÷ó :,dirtiness
÷ä,: to
bís :,g
öt‡,n't (negative command)
kò÷ö :,nkey
tà-kúj,or
dér,"dove, pigeon"
bè©,"down, downwards"
n¬,dream
àÿ,drink : to
kîd :,drum
tùt :,dry : to be
àÿ,dry : to be
ìï,"dry : up, to"
làj :,dry in the sun : to
ßäl,dry season
ndäb :,duck
bú,dust
mbï,ear
ùsà,t : to
kàw,g
njòr :,gplant
÷ô-dì-sô :,ght
kíl-jï :,elbow
kèd :,elephant
dî-÷é-jö÷,eleven
güg :,"encircle, go around : to"
ngè-b¼º,enemy
às,enough for : to be
k¡,excrement
kòm,eye
ìsö,fall : to
ù÷à :,faraway
ndîû :,"farm, plant : to"
bùrà-kîs,"farmer, master"
bùrà :,ther
ßö•,ar; to fear
bè£,ather
kèm-ndîû :,eld
÷û,ght : to
ndèë :,filter : to
kírë,filter : type of
yè÷ :,filth
÷òs :,fill : to
ìngà :,find : to
ßàä,find on ground : to
tïgä :,finished : to be
wò÷,fire
kïr,firewood
kém-tä :,first
dè®,firstborn child f
känj :,fish f
tìb :,fish : type of f
ngè-ndò-känj :,fisherman
kùÿ,shhook
mƒ,ve
ngísä :,ea
¼ÿ,ee : to
ndùj :,our
wút :,flower : to
kÇç :,fly
bùúmbù® :,fog
yª-kùsà :,food
bìnä :,food (main dish for Saras
njà,"foot, leg"
nÅ :,forehead
kù :,forest
gàj :,forked : to be
sô,four
mböl,"fresh, wet : to be"
màd,friend g
kànd :,fruit
ndän :,full : to be
îy,ther : to
b¼y¼ :,rl being initiated
àd,ve
òj,ve birth to : to
tƒyº :,ue
àÛ,go : to
ùd,go down; enter : to
tèë :,go out : to
b¬yº :,goat
bàl,"goat, billygoat"
Lúbä :,God; Luwa (brother of Su)
mbþ :,good : to be
ngó :,gourd
jíngá :,grain : crushed
dàm,granary
kà,grandparent
ndòg :,grass fencing
m“,"grass, straw g"
èm,greasy : to be
dî-nèng :,ound
nèng :,"ound, earth"
wú£-ndà :,oundnuts
àl,ow on ground (plants) : to
tîg :,"ow up, get big : to"
ùßà :,"ow, stuff into, step on :"
tànj :,guinea fowl
ßüd-ngäng :,gums
b¡¬-dî :,hair
b¡¬,"hair, body hair"
jï,hand
bàsá :,handsome : to be
rö-kè,"happiness, joy"
ngàñg :,"hard, difficult : to be"
höm :,hare
kùndè :,harp
b¼º,"hatred, rancor"
dî,head
òö h,hear : to
wùr h,heart
bût-yïl :,hearthstone
îÿ,heavy h
ndú÷ :,dgehog
ßàt :,rd : to
nèë,re
yír,biscus
ùyä,hide; set a trap : to
-á,"him, her"
hàb :,hippopotamus
-á,"his, her"
ùndà :,hit : to
kîs :,hoe
wól,hole
bìlò :,hole
ndüb :,honor : to
gàj :,horn : animal
súndá :,horse
tíngä,hot : to be
ndóngó :,hot pepper h
kúj,house
ßî÷í :,how much
mbà,how?
ùgànà,hundred
ßö,hunger
tö,rt : to
ngàw :,sband
«-,ena
ké,iot
bür,iguana
ndáj :,imitate : to
kèm,in
mòt :,injury
kù®,insect
tïtí :,inside
táj :,insult : to
t¡¬ :,intestines
"wþy,gìnd :","iron, metal"
ndÅç :,"itch, to; to be itchy"
n¡,jealousy between co-wives
