french_term,Beb,Bd,Db,Gor,Gu,KbN,Kbb,Lk,Mb,Mo,Nar,Ngb,Sr,NgT
- Langues Sara,,,,,,,,,,,gdji,goji,gdjà,
sortir,tèée,,tèe,,tèe,tàk1,tèe,Cè,tèe,tèeé,tèe,"tèe,tèe:Sr-tèe",,
souche,jigz,j#g,,j1g9+,)j1g#,gIgI,jIikz,,g1g+,)1g+,bede,)j1g1,b+rde,brde
sourd-muet,,,,,,,,njè-mb1-küdu,mbé6o,mbikt,mbikzi,,,
"sous, dessous",gîin,gén,,g#n,gfir,mèy,gé1,gé1,gir,giîn,gir,gél,gir,-gir
spatule en bois,gès,gès,kä-gèr,gèr,gèr,,gèr,gèr,gèr,gès,gèr : Ng9T=gèr,gèr,gèr,
stérilité,kùjà,kùjà,,kùj)+,kùjù,kùji,,kàdà,kùjà,kùjà,kùjà,kàdi,kùjà,-kù)?
sucer,,nj£bz,njib,nju,njib#,nj66ü,,nj£B6t,n)üûûu,n)1b#,nj{b#,n;1b1,njfb#z,njûbz
sucer,ning£#,ning#,neng,ning#,,,,,ntnñg,ning,1eng,,,0
sucer (enfant),i1,È1,il,il,il,,il,il,il,il,il,il,il,yil
sucré : être,mba,léndz,rép,mbän,lind#,ndere,r£,r11i,yik#,lindx,nèl,r1i,lündz,n1k#
sueur; suer,tètz,tètz,,tûtz,tètz,,tètz,tèds,tùto,tètz,tète,tèd#,tôto,tÈito
suivre,,,,,ndôlè : M=ndüûlo,,,,,ndolè,,,,
"sur, dans",dà,dà,dù,dà,dè,j3,dS : Kul=tàmM-)9,dù,dS,dà,dà,d5,dù,
tabac,mäâng#,dà-bü-b+ys,mäng,mangx,mäng,sè1i,mäng,gàw-yà,,méñg,mâng,sà,m4éùg,mäng
tabouret,k£mbsr,k:mbor,"käg-nji,mbata",k£mbér,ké11,mbata,mbata,,,,,,,
€,,,,,,,,mbäda : Mh=mbata,,kél1,komber,ké11,komberé,kembere
"icher ,enduire (d'huile)",,,,,rété,,,,làât#,râêt#,,,,
1iller; affûter,,,té1,t61l,,,tS1,t$1l,t$l,tél,t61,t61,,
lon,,g£édz,,,,,,gir-gàl,gid£,,gändx,,,
imarinier,màs#,màs+,màs,màès+,màst,,màs+,màs#t,màs+,màst,màs# : Ng9T=màs#,màs#,màs#t,
imbour,kddi,k9di,kôd,kôdi,kôdi,,dàlè,dàlè,kÔdÈ,,kddi,dà1è,kôdi,
imbour à deux faces,dàlè,dàlè,,dàl à,dàlè,ndüm,b1irim,dàlè : M=dàli,,,dàliyà,dàlè,,
"imbour, grand",,gäng#,,gäng#,gängéà,dala,géñg,bolà,gâng,gäng,gângé,gâng,gängä,gängä
mis,tème,tème,,,tème,tème,,tèmeé,"tème, tèmé",tème,,,,
Français :,,,,,,,,,,,tème,-tème,tème,
tamis : sorte de,,yètè,,iyàètiyà,jèng-15ng,,,,yàtà,yàtè,,yàdi,sàn-ndii,
tamis : sorte de,,sàñ : Do=kire,,sàn,,,,sàn,saàn,,,sàn,,
tamiser,,,,,s1ys,géngo,,dàl,,s+ka,"s1ys,",sa,,
tamiser,,,,,,,,,s1ya,s1ys,,,s1ya,
tante paternelle,bèñ,bèn,bèr,bèn,bèn,bène,bèàn : Kul=vènu,bin,bàr,bèñ,bèn,bèn,bèn,
tapioca blanc,qs,gé,,ger,gér,gâÿ,,gér,nder,gé,ger,,gér,
tarir,i1,\i1,i1,i1,it,r0Kkü,i1,i1,)1,it,ir,it,ii,
tas,,,,,,Bäà,,,düu,,,,dub#,
te (acc. s.),-1,-1: Do=-1,,-1,-1,"),1",-1 : Kul=Kk1,-1,-1,-1,-1,-1,-1,
tendons (de viande),ngirè,ngèrè,ngirà,ng+rè,,,,,,,,,,
- Langues Sara,,,,,ngirè,,ngirà,,ngàrà,ngirè,ngèrè : NJT=ngèrà,ngirà,,
termite : esp. de,,,,déngirà,,,,£-dongirod,,dôngèrà,dôngèrà,,,
termite ailé,wa,wa,wa,wa,wa,kf-yèmbé,wa,wa : Mh=waa,,wa,wa,wa,wa,
termite blanc,Yy0,y0,yo,y0,yÿ0,,yo,yo,y0o,s51515,yo,yo,yo,y0
"terre, sol",nàngi,nàngi,nèng,nàngà,nàng,,nàng,nàngi,nàng,nàängä,nàng,nàng,nàng,dà-ningà
terre; territoire,dd-nàng,dà-nàngi,dà-nèng,"dà-k5r,be",dè-nàng,ngäa,di-nàng,dà-nàngi,,ddà-nàng,dd-nàng,dà-nàng,dd-nàng,ning
testicules,ngôr,gèm,,ngôr,güm,gàm,gèm,gèm,,k5r-gèm,ndàm,gèm,ndèm,ndàm
tête,d5,d5,dà,dà,dè,j35,dà : Kul=39,,dà,dà,dà,d,dà,dà
tibia,kas+,-käst,käs,käs+t-njà,käsx,B315,nd-g31l,poro-käsx,kas+,k5m-njà,kast,kägr-gl,kaäst,-kast
tiède : être,,,,,Ôbz,,,püré-po,35,,,,,
tige,käd#,käd#,,käâdE,käd#,kädà,kâr#,kàr,käd£,käd#,kàd#,kär,kàl,-gédé
tique,m} y,mèyè,,mè,mè,,miyà,£-m)vyà,mèe,m)yè,miys,m)yà,miyà,
tirer,ndér,ndér,ndér,dr,ndér,Srè,ndér,ndôr,nd$r,ndér,dr,ndér,nd6r,
toile d'araignée,jônde,jônde,,jônde,ginds,yà,gindo,"jôndo, bändx : M=dündo",,jinds,jônd5,gindo,dônd5,dèndo
tombe,,bédx,,-dà-Bäd#,dè-Bädé,Béaà,dà-bér,dà-Bâr#,dà-béd£,d35-Bäâdx,dè-b4dz : N3T=-bédé,dà-bér,dd-B4ai,
mber,Ôs#,Ôs#,iso,dsx,ds0,iso,Ôs0 : Kul=iso,ds0o,s0,ùs#,0s0,ùs0,ds0o,
mber (en groupe),,,,,tésé : Mh=téso,,,,,tüsx,,,t£so,
mber (pluie),èdi,èdi,èd,èdi,èdài,àri,èr : Kul=àri,èr,èdi,èdi,,èr,èdi,yèdi
mber par terre,,,,,,,,,ùr,ùr,,,ùr,
"on, ta; toi",-1,-1,-1,-{,-f,i,,-f,-£,-f,-1,-i,-i,-f
>rche de paille,ngèl,ngèl,,ngèl,tüsù,mbèhs,ngèl,ngè1l : Mh=ngèl,,ngèl,ngèl,ngèl,ngèl,ngèl
rdre; être courbé,dùgi,rûgà,,dûgi,dùügü,g6ÿ,dûkù,dügù,dûgi,dègà,dùgi : NgT-dùgi,dûgù,rûgi,
>rdu : être,,,,,,,,,nduy,ndu,,,ndur,
>rtue : esp. de,mèy,mèy,mè,mè,mey,mànù,,,,,,,,
Français :,,,,,,,me y,mèy : M=mèe,,mèy,mè,mèy,mÈè,mè
tortue : esp. de,bé1,bél,,boÎ,,,,,boÎ:Nar-büi,,,,ngéi,b5 Î
toucher,3d,5dà : Do=3d,,dd,ddË,3dà,3rù,9F,ôd},ddi,ddi,ddi,ddè,
"toujours, souvent",d5r$,ngändäng#,,ki-nd5-gE-pété,nd5-g#,,,jâgà,kè-nda-nd535-g9#,ndèé-ndèé,ngändäng,,kè-nd5-g9#,ti-nd5g#
tourbillon,1#1-maî,,nél-maîi,n$l-mai,ngà-n$61-ma Î,nélè-malé,,büré,nél-ma Î,y$1-ma i,nél-ma Î,lél-mai,,nélmai
"tourner, se",ndur,,,ndur,ndür,,,nduf,,ndur,tuüur,ndur,,
"tournoyer, secouer",,,,,b£,b£T,,bri,bit,,,,,
tous,léy,là4y,kéré,pété,màläàng,,téy,téy,tüu-bè,1äy,màlàng,l4y,màalàng,k5räy
tousser,k$sx,kést,,"k$ést, kés1",käsé,kàäsT,Kk$sE,késx,késx,k$sx,kés#+,-kés#,késx,
trace de,,,,,,gèto,,,,gôtà,,godà,gôtà,gôti
traire; presser avec main,ôre,mbôre,,,mbôré,,mbére,ôrè : Mh=mbüro,,"mbôre, drè",mbére,tér,,mb£re
tranchant : être,àtài,àtà,àt,àtà,àtà,,àtà,àd#,,àtà,àti,àdà,àtà,àti
travail,kilè,kÈlè,Kkùlà,kùlè,kùlè,Kki là,kùlà,külà,kàlà,kùlè,kèlè : Ng9T=-kilà,kùlà,kèlà,
traverser,,,,,,,,dSré,der,,,,g£là,
"traverser, passer",ùr,dS : Gor-dsr,,,dS r,,gang,ndày,der,ds,tèe,dSs£é,man,man
trembler,dàd#,dàd#,ndèb,dàd#,ndèbà,indà,isà,isà,"ndèw, èw","dàdz, ndèbi",ndèbè,dàd#,ndèbà,ndèbi
tremper,y515,y#l,,,ùlè,,yom,ytl,y11,yil:Nar-nom,,kèn,num,
trente,dd-mÈté,,ddà-mdté,dd-mûté,k5r-müté,,d3-müté : Kul=kéà,d3-mündé,,kdr-mûté,kûtèi-mèté,d5-mündà,kûti-mitä,kùti-mità
tresser,pét#,pét#,,pétz,pét£,téè,péte,,hét#,pôte,hétz,pénde,sét#,sèirè
tresser (le secco),dj+,d)j#,ij0,d)#,0j0,dyo,ùjü,ùj1,,d)+r:Nar-dj0,,ùnj1,0j0,+)0
trois,mûté,mité,,mûté,mûté,müt à,mütä,mündä,mité,müté,mité,mèndà,mitä,mitàä
trompe (éléphant),,lôndi,,,lèng,,,j1-ùm,bàtà,,,,,
trou,be,Be,wél,Be,bé,,büwé,,bee,$e,be,be,,
trou,boôlè,bôlè,bilô,"bèld, be",bé : Kul=véhà,,,büwé,bÈ10,bèlè,bôlù,"bôlè, büwà",bd1d,bild
ou dans termitière,,,,,ndori : M=ndort,,,,,ndonono,,,ndoryo,
"jouer; percé, être",mbûti,mbètà,,mbètà,mbètàù,ène,mbètù : Kul=mbüti,mbüdù : Mhb=mbètà,,mbètà,mbètà,mbüdù,mbûtà,mbüt#
-ouver,ingè,èngè,ingà,ingè,ingè,èmbè,ingà,ingà,,ing,èngè,ingà,ingà,nd5d#
ouver par terre,6àa,Pàa,6àa,Pàa,bàa,,Bàa,Bà,,6àa,$àa,Bàa : sr=Bàa,,
1; vous,+-,#-,1-,+-,1-,,+-,#-,1-,1t-,1-,1-,1-,i-
ler,t51,t51,t51,t51,t5l,t5le,t51:Kul=t51e,t35],t51,t951l:Nar-t5l,,t5l,t51,E91
iteurs,,,,s£ngé,,,singa,kinga,kènga,,ngôong#ro,,,
"1, une",kâre,kâre,käda,käâre,käre,,,,,,,,,
Français :,,,,,,kàré,kâra,kära,k£ra,käâre,kégEm,kâra,kégrn,-kégEm
urine,k$di-man,kèd£-maàn,kéd-màñ,k$di-maàn,-kédf-màr,kéj1,èrx,èrs,kéd£i-màan,kéd£i-màan,ngéd£i-màn,èdz,ngéd£f-màn,ngéd£-màñn
vagabondage,,,,,,,,,Kkàyà,kàyà,kàyà,,,
vagin,ng1r,mûdà,,ng1ir,ngir,,ngiri,ngir,mdd,müdù,,ngir,ngir,mùdè
"van, panier pour vanner",kèe,kèe,kèe,kèe,kèe,kèe,kèe : Kul=kèe,kèe,kèe,kèe,kèe,kèe,kèe,kèe
"vanter, se",bôrè,béjz,,"gü, ngôm",,ndgord,ngèm,"ngèm, ùlà",ngôm,ngôm,ngôm,béle,nj4,
vapeur,,künj£:Gor-=kûnj#,,,künduü,,,kündu,kündé,,kündé,kündü,,
varan,bür,bür,bur,bur,bur,,buru,büru,,bur,bür,bur,bür,buhur
vendre,làw,làb#,ka,1làw,igà,ribt,1àb#,dàbz,dâb#,ndog#,igi,-dàw,igi,
venir,dèe,rèe,dèe,dèe,dèe,àbù,dèe : Kul=àvo,dè,dèe,dèe,dèe,dèe,rèe,
venir de; se lever,i,i,i,i,i,àgà,],],,i,),i,i,bày
vent,1é61,nél,nél,n61,nél,nélè,yé1,1él : Mh=nél,,yél,nél,lél,néi,nél
ventre,mè,mèe,kèm,mè,kèm,büdè,wûr,tà-ùr,,mèé,kèm,mè,kèm,kèm
"verge, pénis",mdti,mdtà,,mitE,mèt,,mètE,mddà,,mti,mÔti,mai,môtà,mèti
vermoulu : être,ndüus+,ndus+,,ndus+,ndusuü,ndusu,,ndusu,ndus+,ndus+,ndus#,ndusu,ndus+,
vers,Kk#,Kk#,,k#,kE,,kE,gE,Kk#,Kk#,k#,ds,k#,
verser,mbél1,mbél,mbél,mbél,,,ünqgu,mbé1,mbél,mbél,bGk£,mbél,b5k#,bük#
verser,bük£,,ôñg,mbé1,ùm,,ùngu,Üùm : Mhb=ùu,,ùng#,ong,"ôm, mbél",b5ké,
verser en laissant residues,,,,,,,,,ndès#,ndùsuüu,,,njèr,
verser pour décanter,,ndist,,ùst,,,,ndûsu : M=ndùst,,,,ndûsu,,
vêtement,k+b#,k+b#,,küuw,kuüubu,nàmé,kübu,kubu,küb#,kübü,küb#,kubu,kuüub+,
viande,da,da,da,da,da,)a,,,daa,da,da,da,da,d3
vieillard,dégè,b£gs,,bügs,Pügé,,Büka,büga,b£gé,Bügs,6£gs,"büga, tôgi",bégà,
eux,,g6,,,,kôno,Bükaä,,,b£14,tôgi:NqT=-b£lé,,b£gà,
llage,6e,be : Dh=be,,be,6e,-PE,Be : Lx=be : M=be,,,Pe,6e,$e,6e,be
ngt,d3-66,,dd-j0d,dd-)06,k5r-106,,dd-;06,ddgi-106,dà-06,kdr-j06,kùti-j06,d5-;06,küti-j06,kùti-j06
siter,905,g09,,g00,g00,,goo,géngs,g00,g00,g0s,g05,gùÿ,
"_squeux, gluante",ùwè,ndà1l,,,nd31,,wà,15,ndd1,,ndd1,,ndil,
te,läw,1äw,dé,kàlàngi,kàlàng,gès£i,njàng,gi-tégé : M=ndéré,,kàlàng,lày,kàlàng,läy,läw
ir,00,Ô0,d0,00,à,ùwà,00 : Kul=ùwà,0,Ô0,00,àa,Ô0,à,wW00
)isin,njè-mbé-kéy,màdx-Pe,màd-be,njè-gèdi-kéy,,,,,,,,,,
Français :,,,,,màdz-66,mèandà-dàr,njè-mbér-kéy,,,,,,,
Kul=ni-dàrüu,,,,,,,,njè-bàtà-kéy,màdz-bee,njè-tà-kéy,mèàdr-be,njè-bàdà-kéy,mèadr-be,mèàdr-be
voix,ndu,ndu,ndu,ndu,ndu,nju,ndu,ndu,,nd1,ndu,ndu,ndu,nd1
voler,Pdôgi,Bôgà,,bègi,Bègi,Bègà,5àkù,Bègà : M=bôgE,,bôogi,bôgi,bôgù,Bègi,"bègi,tèji"
vomir,tomo,t5mo,,tomo,tomo,türe,tomo,tome : Mh=tom,,tomo,t5mbo,t5me,tomb#,t5mb#
vouloir,gè,gè,gè,gè,gè,dürû,njiki :Kul=dürû,njigi,,ndig,gè,gè,gÈèy,oè
üù | vous (acc.),-sè,,,-sè,sè-1I,sè,-sé,-s1,-s},-sfi,-sè,-si,-si,-s£
vous (oblique); votre,-s1,-sf,-sé,-sé,-s1,sé,-sé : Kul=sé,-sèy,-s£,-si,-si,-sfi,-si,
"voyage; hôte, invité",mba,mba : Do=mba,,mba,mba,mba,,mba,mbaa,mba,mba,mba,mba,
"youyou, faire",£-ndi Î,£-ndx,njil,£-nd1i,ndi{,nj111,£-njtri,£-njil,ndï {,£-nd1 i,ndil,ndii,ndii,
zorille,,£-sind£,,,,-kendi,,,kendi,,kindf,kindi,,
