french_term,Beb,Bd,Db,Gor,Gu,KbN,Kbb,Lk,Mb,Mo,Nar,Ngb,Sr,NgT
brindille sèche,ng5w,ng5ngèrs,ngo,,ngéng-rsng,,ngsw,ngsw,,,,,,
- Langues Sara,,,,,,,,,ng6o,,,ngsw,ngo,ngo
"> |briser, casser",büd#,t5 : Dh=t5,,t5,ts,t5k5,t5,t5,,t5,t9,ts5,to,
brouillard,müm,müm,,müu,büm,gümséè,müm,müm : Mh=büû,,müm,k£-buü-bù,müm,dim-sil,
brousse,mù,mù,,,wàlé,g5be,mù-û,mù,mèûu,wàlé,wà,wàl à,bèmbèé,
bruiner,,yém,,,,,,,,yém,,,yém,
bruit,Kké,"kà, ké : Do=kä",,kà,kä,,£-kti,kà,,"ndu, käâ",k5f,kär,ko,ké
bruit de désapprobation,,,,,nj$tà,,,,n)j#6r,nj6ti,,,ngüûr-màs+,
brûler,d,,0,0,ù,3n9,ù,0,00,d,d,0,ù,
bûche,ngs,ng,,ngà,ng,,,,ngà,ngà,ngà,ng,ngd,
buffle,ddgi,dôgi,dàg,digà,dègà,dÿg3,d3kù,dÔg9i : Mh=dÔgi,,ddgà,ddgi : NT=dgi,dàgi,dûgi,
cacher,déi,55y5,,déw,B5y3,,,débz,déw,dèbà,B5,dèb},débz,
cacher; tendre,]ys,Èys,ùya,]ys,ùys,iya,iya,\iys,,1ysS,iys,i ya,Bb5,b5
cadavre,n1n,nxn,nin,n1n,n1n,nunû,nin,n1n,nin,nin,nin,n1in,nin,nin
"cailloux, pierre, montagne",èr,mbàl,mbàl,mbàl,mbàl,,èr,mbàl,mbàl,èr,mbàl,mbàl,,kôhôr
calciner,,nèt,,nûts,,,,,rûto,,nût#,,rèto,
calebasse,£-ng6,£-ngé,ng6,,ng6,kihé,£-ng6 : Kul=härü,£-ngé : Mob=ngé,,£-ngd6,kär,ng6,k5y,
calebasse - cuillère,£-d1i,jènt,,ké-d1i,jènt,5èn1,kärambe,kôr-gè : Mh=jènt,,kar-mb1:Nar-=jènt,,kär-mb1,kùm-Kk5y,
"calebasse, esp. de",,kü,,,kü,güûù,,Kkuü,,ku,,ka,ku,
ilme,,,,,nding : M=nding,,,,,nding,,,nding,
illosité,,,,,m,,,,,mùy,,,mat+-kaf,
"imarade, copin",nam,gàr,,gèàr,,bàkürà,näm : Kul=tà-hàbe,,nam,màad#,,küûüra-mar,màad#,
iméléon,£-1fye,£-1:ysy,,f-11yé,13-m1y60o,ki-nügabala,£-11ya-h#y,£-1l1ya,k£-13y,,1l1ys,1fya,l1ya,k£-noh6y
inard,ndäw,ndäb#,ndäb,ndaäw,ndaäb£,ndäbé,£-ndäb£,ndabé,ndabé,ndab#,ndäbé,ndabé,ndabf,
inari (pour la bière),gèm,,,,,Püya,,dùrà,,gûm,,,,
incère de la peau,bày,bày,,bày,,,,,,bàsèrang,,bàyna,,
inine,,,,,,,,,s£lé,kiys-ngangx,,,sèile,
inne de sucre,kädx,rège,kési,käâdx,kéd#,,i-siya,£-s{ya,kéädé,kâd#,kâd#,rège,kädà,gäd£
caracal,,j)5m,,,,jeme,,)em,jam:Nar-jem,,,jsm,,
casser,tèti,tètà,,tètà,tètà,tàtè,tèti,Cèdi,tètà,tètà,tèti,tèdi,tètà,
"casser, rompre (fréq.)",,,,,tüjé,,,,,t1i5,,,t$ja,
causer à nuit,,,,,,ndéle,,,,ndàl,,,,
"ce, cet (emphatique)",lé,,y6,,ngàä,,,dé,yé,lé,né,lé,ni,n0
"ce, le",kfnù,dé,,k£n,nè,,nèn : Kul=rà,,"nd, nà",k£n,"n-ndû,n-nû",nè-lé,ni,nfi
célibataire,büwè,büwè,kàb,büws,süwè,mdd$à,ngé-büwà,£-ngàw-bà : Mh=biwà,,ngäbd,sûwè,ngàw-bà,,sibà
cendre,bu,,bü,büû,bü,Bükü,bü,,büu,bü,bü,bü,bü,bü
cent,Pû,Bû,ùgànà,bû,àrü,k6d-müté-bi-d3gà,dà-d3kà,t51,,,,,,
- Langues Sara,,,,,,,,,,Bü,Bü,t51,Bbû,bü
"centre, milieu",dàn,dàn,dàn,dàn,dàn,dànà,dàn : Kul=dänà,däàn,dàn,dàn,dàn,dàn,dàn,dàn
céphalophe à flancs roux,,pèn,pèn,,,,,pàn,pân,pan,pànà,pan,,
cerémonie d'initiation,ndo,ndo,ndo,ndù,ndà,,bèl,1âw,,ndd,ndo,1lä4w,ndo,
cicatrice,ndaj£,ndä;j#,njt)à,£-nd$j5,ndujé,,ndajf,,nd1 jà,ndaj#,nd#jé,ndajfi,nd#jà,
ciel,dà-raä,dà-ra,dàra,dà-ra,dà-r3,nd-ya,dà-ra,dàra,dà-räa,dd-ra,dè-r3 : NgT-dra,dàra,dd-ra,
cigogne marabout,,,,,lùbo,nobo,,,1Èbô,jùti-man,1dbo,,,
cinq,m£,m£,mi,mi,mi,mii,mi : Kul=mif,mf,mi i,mi,mi,mi,mi,mi
"cithare, harpe",kèndè,kèndè,kündè,kèndè,kündü-jèñg,,kIndè,,kindè,kèndè,kèndè,kôndè,kèndè,
civette,gujs,gujs,,,,;jàmbé,quja,tèw,g1ja,güjs,g#)s,nja-bông-digi,g+ja,
clair: être; allumer,ùnjx,ûnjx,,ùn)j#,ùnju,0j1,,,ùn)j+,ùnju,ùn)?,injt:Sr-=ùn)#,,wWûn)j+
"clair, propre: être",àr,àÿ,àr,àr,àr,ndis1,àr,àr,,àr,,àr,,
clitoris,kàn,ng#r,,,kàän-ngir,süuüû,ngir,,,ngir,,ngàw-kàn,g0-ng1r,
clôture en bois,,,,,,,,,gdng,gàli,,,gong,
cob des roseaux,,;jàl,,,,yà10o,,àI,;jàl,;jàl,,jàl,jàl,
coeur,,f5ngzrs,wür,,,,,BSngzrs,k£-ngon-bir,,küjr-mosE,-bsngsrs,,
colère,ong#,ong#,hong,ong#,wong,,ungu,wüngü : Mh=wong,,wong,PGng,wong,wong,wong
coller,tiys,t£ys,,tiys,làb#,,,,,,,,,
cc,,,,,,t 1 nà,tiya,Ciya,tiyé,tiys,t{ys,tiya,,
")ller, se",1àw,,,ànd#,làb#,nàBa,,,,t{ys,laé,làbz,làa,
mbien,bàn,bàñ,bèdi,bàñ,kändäng,ndokü,känd£é,känd#,bàÿ,kändäng,kéndéng,bànñ,kénéng,bàÿ
mmen t ?,bàn,bànñ,mbà,bàñ,bàÿ,,tokü-bàn,bàn,bàÿ,bàn,bàÿ,bàn,bàÿ,
mpter,t£ids,tids,,tüds,tüté,t$639,türa,türa : Mh=t£dé,,tids,t£ds,türa,t£da,
)ncerner,ùsi,ndètz,ndèt,làg#,ùsu,,,Ôds0,,ùsi,"ndèti, tèe",ùsu,ùsi,ùsà
»ncombre,kès£,$-kès#,,kès£,kèsét,KOKI,küsü,kôoso,kds£,kds#,kôs£,kès#,kds#,
